gene_symbol,gs_name,source,description
Acmsd,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Ido1,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Ido2,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Kynu,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Acmsd,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Tdo2,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Haao,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Nadsyn1,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Nampt,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Naprt,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Nmnat1,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Nmnat2,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Nmnat3,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Parp1,NAD_biosynthesis,,List of genes involved in NAD regulation
Qprt,NAD_biosynthesis,GO: NAD biosynthetic process,List of genes involved in NAD regulation
Hspd1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspe1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspa9,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Clpp,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Lonp1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Spg7,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Htra2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Endog,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Abcb8,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Phb,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Phb2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Txn2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Ndufb2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Timm17a,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Ddit3,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Cebpb,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
