GeneName	condition
Cemip	colon_uc_up_day2
Tnip3	colon_uc_up_day2
Sval1	colon_uc_up_day2
Il11	colon_uc_up_day2
Mmp10	colon_uc_up_day2
Mmp3	colon_uc_up_day2
Prss22	colon_uc_up_day2
Cyp1b1	colon_uc_up_day2
Mfsd2a	colon_uc_up_day2
Mcpt2	colon_uc_up_day2
A2m	colon_uc_up_day2
Gfap	colon_uc_up_day2
Adamts4	colon_uc_up_day2
Mmp13	colon_uc_up_day2
Chrdl2	colon_uc_up_day2
Kng2	colon_uc_up_day2
Selp	colon_uc_up_day2
Csf3	colon_uc_up_day2
Lcn2	colon_uc_up_day2
Duoxa2	colon_uc_up_day2
Il6	colon_uc_up_day2
Spon2	colon_uc_up_day2
Ltf	colon_uc_up_day2
Timp1	colon_uc_up_day2
Ly6g	colon_uc_up_day2
Mmp8	colon_uc_up_day2
Sirpb1c	colon_uc_up_day2
Reg3g	colon_uc_up_day2
Adgrf1	colon_uc_up_day2
Ccl8	colon_uc_up_day2
Serpina3m	colon_uc_up_day2
Tnf	colon_uc_up_day2
Cxcl1	colon_uc_up_day2
Retnlg	colon_uc_up_day2
Socs3	colon_uc_up_day2
Cd300lb	colon_uc_up_day2
Cxcl5	colon_uc_up_day2
Steap4	colon_uc_up_day2
Lrg1	colon_uc_up_day2
Serpina3n	colon_uc_up_day2
Nfil3	colon_uc_up_day2
Gstp3	colon_uc_up_day2
Ptx3	colon_uc_up_day2
Cd5l	colon_uc_up_day2
Ly6a	colon_uc_up_day2
Nt5c1a	colon_uc_up_day2
Clca4b	colon_uc_up_day2
Igfbp5	colon_uc_up_day2
Rasl11a	colon_uc_up_day2
Trim29	colon_uc_up_day2
Cpn2	colon_uc_up_day2
Alpl	colon_uc_up_day2
Ren1	colon_uc_up_day2
Csf2rb2	colon_uc_up_day2
F10	colon_uc_up_day2
Ms4a18	colon_uc_up_day2
Tgm1	colon_uc_up_day2
Dio3	colon_uc_up_day2
Anxa8	colon_uc_up_day2
Ifitm6	colon_uc_up_day2
Hgf	colon_uc_up_day2
Muc1	colon_uc_up_day2
Csf3r	colon_uc_up_day2
Reg3b	colon_uc_up_day2
Myot	colon_uc_up_day2
Muc6	colon_uc_up_day2
Rtn4rl2	colon_uc_up_day2
Il1b	colon_uc_up_day2
Fdft1	colon_uc_up_day2
Krt36	colon_uc_up_day2
Pirb	colon_uc_up_day2
Sell	colon_uc_up_day2
Agbl2	colon_uc_up_day2
Igfbp4	colon_uc_up_day2
B430306N03Rik	colon_uc_up_day2
Angpt4	colon_uc_up_day2
Arntl	colon_uc_up_day2
Ifit1bl1	colon_uc_up_day2
Sirpb1a	colon_uc_up_day2
Pcsk9	colon_uc_up_day2
Wfdc17	colon_uc_up_day2
Cyp51	colon_uc_up_day2
Ifi205	colon_uc_up_day2
Msmo1	colon_uc_up_day2
Ccl21a	colon_uc_up_day2
Slc28a3	colon_uc_up_day2
Trem2	colon_uc_up_day2
Col18a1	colon_uc_up_day2
Gna14	colon_uc_up_day2
Cd68	colon_uc_up_day2
Mvd	colon_uc_up_day2
G430049J08Rik	colon_uc_up_day2
Ms4a6d	colon_uc_up_day2
Slc15a3	colon_uc_up_day2
Hp	colon_uc_up_day2
Reg1	colon_uc_up_day2
Gm11361	colon_uc_up_day2
Chil3	colon_uc_up_day2
Grem1	colon_uc_up_day2
Tnfrsf9	colon_uc_up_day2
Clec4n	colon_uc_up_day2
Hmgcs1	colon_uc_up_day2
Tacr1	colon_uc_up_day2
Sprr1a	colon_uc_up_day2
Ccl2	colon_uc_up_day2
Hk3	colon_uc_up_day2
S100a9	colon_uc_up_day2
Serpina3i	colon_uc_up_day2
Fgf23	colon_uc_up_day2
Msr1	colon_uc_up_day2
Tarm1	colon_uc_up_day2
Dnah17	colon_uc_up_day2
Gsdmc3	colon_uc_up_day2
Iigp1	colon_uc_up_day2
Grik2	colon_uc_up_day2
Eln	colon_uc_up_day2
Capn11	colon_uc_up_day2
Insig1	colon_uc_up_day2
Bdkrb1	colon_uc_up_day2
Ackr1	colon_uc_up_day2
Il1rl1	colon_uc_up_day2
Lrp2	colon_uc_up_day2
Snai1	colon_uc_up_day2
Tgtp2	colon_uc_up_day2
Gm4951	colon_uc_up_day2
Ccl7	colon_uc_up_day2
Mybpc2	colon_uc_up_day2
Igtp	colon_uc_up_day2
Rnf125	colon_uc_up_day2
Nccrp1	colon_uc_up_day2
Arhgap40	colon_uc_up_day2
Gm5150	colon_uc_up_day2
Clec4e	colon_uc_up_day2
Npl	colon_uc_up_day2
Slc7a11	colon_uc_up_day2
Gsdmc	colon_uc_up_day2
Cxcl3	colon_uc_up_day2
Fhl3	colon_uc_up_day2
Fer1l4	colon_uc_up_day2
Lrrc75b	colon_uc_up_day2
Ugt1a2	colon_uc_up_day2
Vill	colon_uc_up_day2
Sfrp2	colon_uc_up_day2
Trem1	colon_uc_up_day2
Gm6169	colon_uc_up_day2
Gm2564	colon_uc_up_day2
Gpr88	colon_uc_up_day2
Prl2a1	colon_uc_up_day2
Cxcl2	colon_uc_up_day2
Ttyh1	colon_uc_up_day2
Nell2	colon_uc_up_day2
Lypd3	colon_uc_up_day2
Tnfaip2	colon_uc_up_day2
Gm42416	colon_uc_up_day2
Csta1	colon_uc_up_day2
Otop1	colon_uc_up_day2
Slc13a3	colon_uc_up_day2
Cpz	colon_uc_up_day2
Gsdmc2	colon_uc_up_day2
Cxcl10	colon_uc_up_day2
Il1rn	colon_uc_up_day2
Batf3	colon_uc_up_day2
Adgra1	colon_uc_up_day2
Masp1	colon_uc_up_day2
Tgtp1	colon_uc_up_day2
Hist1h3a	colon_uc_up_day2
Syt8	colon_uc_up_day2
Gsdmc4	colon_uc_up_day2
Cirbp	colon_uc_up_day2
Has1	colon_uc_up_day2
Diras2	colon_uc_up_day2
Tmem182	colon_uc_up_day2
Etnppl	colon_uc_up_day2
S100a8	colon_uc_up_day2
