GeneName	condition
Tfpi	GSE83687_Colon_GroupCD-GroupControl_Up
Thsd7a	GSE83687_Colon_GroupCD-GroupControl_Up
Sele	GSE83687_Colon_GroupCD-GroupControl_Up
Fmo3	GSE83687_Colon_GroupCD-GroupControl_Up
Aass	GSE83687_Colon_GroupCD-GroupControl_Up
Mpnd	GSE83687_Colon_GroupCD-GroupControl_Down
St3gal1	GSE83687_Colon_GroupCD-GroupControl_Up
Uqcrc1	GSE83687_Colon_GroupCD-GroupControl_Down
Zbtb32	GSE83687_Colon_GroupCD-GroupControl_Up
Ehd3	GSE83687_Colon_GroupCD-GroupControl_Up
Cps1	GSE83687_Colon_GroupCD-GroupControl_Up
Prkch	GSE83687_Colon_GroupCD-GroupControl_Up
Apba2	GSE83687_Colon_GroupCD-GroupControl_Up
Tll1	GSE83687_Colon_GroupCD-GroupControl_Up
Tnc	GSE83687_Colon_GroupCD-GroupControl_Up
Ripor3	GSE83687_Colon_GroupCD-GroupControl_Up
Lcp2	GSE83687_Colon_GroupCD-GroupControl_Up
Guca2b	GSE83687_Colon_GroupCD-GroupControl_Down
Prex2	GSE83687_Colon_GroupCD-GroupControl_Up
Ano2	GSE83687_Colon_GroupCD-GroupControl_Up
Adamts6	GSE83687_Colon_GroupCD-GroupControl_Up
Foxp3	GSE83687_Colon_GroupCD-GroupControl_Up
Entpd2	GSE83687_Colon_GroupCD-GroupControl_Down
Chrdl2	GSE83687_Colon_GroupCD-GroupControl_Up
Traf1	GSE83687_Colon_GroupCD-GroupControl_Up
Lzts1	GSE83687_Colon_GroupCD-GroupControl_Up
Gucy1b1	GSE83687_Colon_GroupCD-GroupControl_Up
Calcrl	GSE83687_Colon_GroupCD-GroupControl_Up
Tie1	GSE83687_Colon_GroupCD-GroupControl_Up
Cd84	GSE83687_Colon_GroupCD-GroupControl_Up
Cldn18	GSE83687_Colon_GroupCD-GroupControl_Up
Adgrf5	GSE83687_Colon_GroupCD-GroupControl_Up
Abcc9	GSE83687_Colon_GroupCD-GroupControl_Up
Rora	GSE83687_Colon_GroupCD-GroupControl_Up
Trib2	GSE83687_Colon_GroupCD-GroupControl_Up
Tmem38a	GSE83687_Colon_GroupCD-GroupControl_Down
Panx2	GSE83687_Colon_GroupCD-GroupControl_Up
Abcb11	GSE83687_Colon_GroupCD-GroupControl_Down
Tbx21	GSE83687_Colon_GroupCD-GroupControl_Up
Zfp532	GSE83687_Colon_GroupCD-GroupControl_Up
Acat1	GSE83687_Colon_GroupCD-GroupControl_Down
Sirt6	GSE83687_Colon_GroupCD-GroupControl_Down
Fap	GSE83687_Colon_GroupCD-GroupControl_Up
Rbfox1	GSE83687_Colon_GroupCD-GroupControl_Down
Mid2	GSE83687_Colon_GroupCD-GroupControl_Up
Pkp1	GSE83687_Colon_GroupCD-GroupControl_Up
Il12rb2	GSE83687_Colon_GroupCD-GroupControl_Up
Apob	GSE83687_Colon_GroupCD-GroupControl_Up
Mapre3	GSE83687_Colon_GroupCD-GroupControl_Down
Igsf9	GSE83687_Colon_GroupCD-GroupControl_Down
Folh1	GSE83687_Colon_GroupCD-GroupControl_Up
Adamts2	GSE83687_Colon_GroupCD-GroupControl_Up
Mt3	GSE83687_Colon_GroupCD-GroupControl_Down
Cass4	GSE83687_Colon_GroupCD-GroupControl_Up
Cpxm1	GSE83687_Colon_GroupCD-GroupControl_Up
Rapgef4	GSE83687_Colon_GroupCD-GroupControl_Up
Apoh	GSE83687_Colon_GroupCD-GroupControl_Down
Angpt2	GSE83687_Colon_GroupCD-GroupControl_Up
Tbx15	GSE83687_Colon_GroupCD-GroupControl_Up
Vnn3	GSE83687_Colon_GroupCD-GroupControl_Up
Gabrp	GSE83687_Colon_GroupCD-GroupControl_Up
Nrp1	GSE83687_Colon_GroupCD-GroupControl_Up
Palmd	GSE83687_Colon_GroupCD-GroupControl_Up
Timm13	GSE83687_Colon_GroupCD-GroupControl_Down
Upb1	GSE83687_Colon_GroupCD-GroupControl_Up
Tspo	GSE83687_Colon_GroupCD-GroupControl_Down
Cacna1i	GSE83687_Colon_GroupCD-GroupControl_Up
Sgk2	GSE83687_Colon_GroupCD-GroupControl_Down
Rims4	GSE83687_Colon_GroupCD-GroupControl_Down
Glra2	GSE83687_Colon_GroupCD-GroupControl_Down
Igdcc4	GSE83687_Colon_GroupCD-GroupControl_Up
Ccn4	GSE83687_Colon_GroupCD-GroupControl_Up
Ech1	GSE83687_Colon_GroupCD-GroupControl_Down
Plekhj1	GSE83687_Colon_GroupCD-GroupControl_Down
Gm14548	GSE83687_Colon_GroupCD-GroupControl_Up
Pira2	GSE83687_Colon_GroupCD-GroupControl_Up
Lilra6	GSE83687_Colon_GroupCD-GroupControl_Up
Gm15922	GSE83687_Colon_GroupCD-GroupControl_Up
Lilra5	GSE83687_Colon_GroupCD-GroupControl_Up
Pirb	GSE83687_Colon_GroupCD-GroupControl_Up
Gm15448	GSE83687_Colon_GroupCD-GroupControl_Up
Shd	GSE83687_Colon_GroupCD-GroupControl_Down
