Strain_id	strain	diet	Cytokine_IL15_.pg.mL.	Cytokine_IL10_.pg.mL.
001-0526	BXD1	HFD	NA	NA
001-0527	BXD1	HFD	NA	NA
001-0528	BXD1	HFD	NA	NA
001-0529	BXD1	HFD	NA	NA
001-0530	BXD1	HFD	NA	NA
002-0578	BXD2	HFD	NA	NA
002-0579	BXD2	HFD	NA	NA
002-0580	BXD2	HFD	NA	NA
002-0581	BXD2	HFD	NA	NA
002-0582	BXD2	HFD	NA	NA
006-0006-HFD	BXD6	HFD	NA	NA
006-0016-HFD	BXD6	HFD	NA	NA
006-0026-HFD	BXD6	HFD	NA	NA
006-0036-HFD	BXD6	HFD	NA	NA
006-0046-HFD	BXD6	HFD	NA	NA
008-0001	BXD8	HFD	NA	NA
008-0002	BXD8	HFD	NA	NA
008-0003	BXD8	HFD	NA	NA
008-0004	BXD8	HFD	NA	NA
008-0005	BXD8	HFD	NA	NA
011-0001	BXD11	HFD	NA	NA
011-0002	BXD11	HFD	NA	NA
011-0003	BXD11	HFD	NA	NA
011-0004	BXD11	HFD	NA	NA
011-0005	BXD11	HFD	NA	NA
012-0592	BXD12	HFD	NA	NA
012-0593	BXD12	HFD	NA	NA
012-0594	BXD12	HFD	NA	NA
012-0595	BXD12	HFD	NA	NA
012-0596	BXD12	HFD	NA	NA
016-16_2	BXD16	HFD	NA	NA
016-16_3	BXD16	HFD	NA	NA
016-56_3	BXD16	HFD	NA	NA
016-56-2	BXD16	HFD	NA	NA
016-86_2	BXD16	HFD	NA	NA
027-0027	BXD27	HFD	NA	NA
027-0067	BXD27	HFD	NA	NA
027-0087	BXD27	HFD	NA	NA
027-0097	BXD27	HFD	NA	NA
032-0486	BXD32	HFD	NA	NA
032-0487	BXD32	HFD	NA	NA
032-0488	BXD32	HFD	NA	NA
032-0489	BXD32	HFD	NA	NA
034-1300	BXD34	HFD	NA	NA
034-1301	BXD34	HFD	NA	NA
034-1302	BXD34	HFD	NA	NA
034-1303	BXD34	HFD	NA	NA
034-1304	BXD34	HFD	NA	NA
039-0535	BXD39	HFD	NA	NA
039-0536	BXD39	HFD	NA	NA
039-0537	BXD39	HFD	NA	NA
039-0538	BXD39	HFD	NA	NA
039-0539	BXD39	HFD	NA	NA
040-0507	BXD40	HFD	NA	NA
040-0508	BXD40	HFD	NA	NA
040-0509	BXD40	HFD	NA	NA
